97,Monkey Code,School,1,2016-11-21,A school that will teach a monkey how to code.,,
101,Berkeley,University,1,2016-11-21,"The University of California, Berkeley, is a public research university located in Berkeley, California.",,
102,University of Washington,University,1,1970-01-01,"The University of Washington, commonly referred to as simply Washington, UW, or informally U-Dub, is a public flagship research university based in Seattle, Washington, United States.",,
104,Seminole State College of Florida,State College,,,"Seminole State College of Florida is a full-service education provider, offering six bachelor's degrees; two-year college-credit degrees (A.A., A.S., A.A.S.); specialized career certificates; continuing professional education; adult education; and an array of culturally stimulating events and timely guest speakers.

If you're a recent high school graduate just beginning your educational journey; a professional seeking training to change careers or upgrade your job skills; a community member looking to enhance your quality of life through adult education classes; or someone who's searching to learn more about a special interest, Seminole State is here for you.",,
89,D.C. Everest Senior High,High School,1,1970-01-01,"The D.C. Everest School District is a public school district serving the city of Schofield, the villages of Weston, Hatley, Rothschild, and Kronenwetter, and the towns of Ringle and Easton in central Wisconsin.",,
90,University of Wisconsin–Platteville,University,1,1970-01-01,"University of Wisconsin–Platteville is a public university located in Platteville, Wisconsin, United States. Part of the University of Wisconsin System.",,
78,CW Jefferys,High School,1,1970-01-01,The #1 Art school in Toronto. Famous alumni include Rahal Balasuriya of Sajja Securities.,,
103,Brock University,University,1,1970-01-01,"Brock University is a public research university in St. Catharines, Ontario, Canada. It is the only university in Canada in a UNESCO Biosphere Reserve, at the centre of Canada's Niagara Peninsula on the Niagara Escarpment.",,
98,University of Florida,University,1,2016-11-21,"University of Florida is an American, public research university, priding itself in academics and sports. Eighth largest campus in the United States, Located in Gainesville, Florida.",,
100,Calvary Christian Academy,High School,1,2016-11-21,"Private school located in Ft. Lauderdale, Florida providing the foundations students need at a young age, to prepare them for post secondary life. Focuses on the talents that all students have, and work in small class sizes to further each and every skill that the students have. This institution works hard to ensure academic success, and achievement of all students enrolled.",,
99,Florida State University,University,1,2016-11-21,"FSU, public university in the state of Florida, located in Tallahassee.  It is one of the most respected research and learning institutions in the country of United States, placing pride on its academics. Florida State is home to Florida's only National Laboratory – the National High Magnetic Field Laboratory and is the birthplace of the commercially viable anti-cancer drug Taxol.",,
55,Ryserson University,University,1,1970-01-01,"Ryerson University is a public research university located in downtown Toronto, Ontario. Its urban campus surrounds the Yonge-Dundas Square, located at the busiest intersection in downtown Toronto.",,
52,University of Waterloo,University,1,1970-01-01,"The University of Waterloo is a public research university with a main campus located in Waterloo, Ontario. The main campus is located on 404 hectares of land in 'Uptown' Waterloo, adjacent to Waterloo Park",,
53,York University,University,1,1970-01-01,"York University is a public research university in Toronto, Ontario, Canada. It is Canada's third-largest university. York University has approximately 53,000 students, 7,000 faculty and staff, and 295,000 alumni worldwide.",,
54,University of Toronto,University,1,1970-01-01,"The University of Toronto is a public research university in Toronto, Ontario, Canada, situated on the grounds that surround Queen's Park.",,
56,Hogwarts School of Witchcraft and Wizardry,Witchcraft and Wizardry,1,1970-01-01,"Hogwarts School of Witchcraft and Wizardry, shortened Hogwarts, is a fictional British school of magic for students aged eleven to eighteen, and is the primary setting for the first six books in J.K. Rowling's Harry Potter series.",,
91,University of Wisconsin–Marathon County,University,1,1970-01-01,"The University of Wisconsin–Marathon County (UWMC), one of the University of Wisconsin Colleges, is a two-year campus of the University of Wisconsin System. It is located near downtown Wausau, Wisconsin.",,
92,Northview Heights Secondary School,High School,1,1970-01-01,"Northview Heights Secondary School is a secondary school for grades 9 to 12 in Toronto, Ontario, Canada. It is located in Toronto's north end at the intersection of Bathurst Street and Finch Avenue.",,
94,Auburn University,University,1,1970-01-01,"Auburn University (AU or Auburn) is a public research university located in Auburn, Alabama, United States. With more than 22,000 undergraduate students and a total of more than 28,000 students and 1,200 faculty members, it is one of the largest universities in the state as well as one of two public flagship universities in the state.",,
